DATASET_MULTIBAR
SEPARATOR TAB
DATASET_LABEL	Pseudomonas alcaligenes MCL-PHA-Depolymerase 0
COLOR	#4C3ECE
FIELD_COLORS	#BDAAEB
FIELD_LABELS	Pseudomonas alcaligenes MCL-PHA-Depolymerase 0
DATA
192	0
232	0
239	0
266	0
285	0
287	1
292	0
293	0
294	0
300	3
301	0
303	0
306	1
316	0
317	0
329	0
354	0
358	0
470	0
471	0
479	0
511	0
512	0
549	0
573	0
599	0
615	0
663	0
670	0
678	0
687	0
876	0
959	0
1085	0
1270	0
1271	0
1273	0
1282	0
1288	0
1306	0
1390	0
1391	0
1393	0
1396	0
1397	0
1402	0
1404	0
1405	0
1408	0
1409	0
1421	0
1422	0
1423	0
1428	0
1451	0
1479	0
1482	0
1488	0
1491	0
1667	0
1673	0
1720	0
1785	0
1814	0
1816	0
1824	0
1829	0
1830	0
1831	0
1833	0
1852	0
1877	0
1881	0
1887	0
1892	0
1893	0
1911	0
1931	0
1934	0
1941	0
1952	0
1989	0
2017	0
2020	0
2021	0
2026	0
2030	0
2065	0
2072	0
4847	0
4929	0
4959	0
5041	0
5045	0
5046	0
5057	0
5059	0
5061	0
5062	0
5065	0
5068	0
5076	0
5077	0
5078	0
5079	0
5081	0
5082	0
5087	0
5306	0
5322	0
5325	0
5331	0
5341	0
5365	0
5418	0
5481	0
5507	0
5516	0
5530	0
5537	0
5541	0
5544	0
5547	0
5580	0
5599	0
12917	0
27334	0
28031	0
28066	0
28095	0
28214	0
28454	0
28565	0
28572	0
28574	0
28576	0
29382	0
29387	0
29443	0
29446	0
29494	0
29523	0
29856	0
29875	0
29916	0
29917	0
31958	0
33050	0
33178	0
33203	0
33907	0
33910	0
33919	0
33920	0
33921	0
33938	0
33941	0
34028	0
34030	0
34038	0
34073	0
34381	0
34413	0
35703	0
35841	0
36080	0
36460	0
36630	0
36655	0
36773	0
36819	0
37482	0
37632	0
37998	0
38033	0
38945	0
40215	0
40324	2
40382	0
40383	0
40412	0
40483	0
40571	0
40658	0
41061	0
41276	0
41413	0
41959	0
42895	0
43263	7
43354	0
43355	0
43767	0
44252	0
44672	0
44751	0
45277	0
45462	0
46173	0
46472	0
47763	0
47877	0
47878	0
47881	0
47886	0
47920	0
48100	0
48296	0
48865	0
49224	0
50422	0
50741	0
51101	0
51513	0
51671	0
53356	0
53408	0
53522	0
54061	0
54914	0
54915	0
56811	0
58117	0
58172	0
58343	0
59298	0
59754	0
60443	0
60552	0
60912	0
61235	0
61645	0
61652	0
63131	0
63820	0
63821	0
64104	0
64495	0
64518	0
64636	0
64647	0
65048	0
66867	0
67313	0
67342	0
67358	0
67581	0
67826	0
68192	0
68247	0
68258	0
69392	1
69393	0
69488	0
69763	0
69773	0
69780	0
69781	0
69784	0
69808	0
70808	0
71999	0
72361	0
75292	0
75612	0
75659	0
75750	0
76020	0
76021	0
76022	0
76731	0
76759	0
76760	0
76761	0
77133	0
78556	0
79858	0
80866	0
80867	0
84724	0
84753	0
85698	0
85828	0
86188	0
86664	0
86668	0
86839	0
89141	0
91492	0
92950	0
93594	0
94624	0
94625	0
103731	0
103733	0
103734	0
103836	0
104087	0
104355	0
105351	0
106590	0
108980	0
114497	0
117187	0
119078	0
128442	0
134375	0
137658	2
137662	0
143450	0
144786	0
154046	0
155003	0
162425	0
163361	0
169177	0
169388	0
175245	0
180282	0
181124	0
188908	0
196015	0
197461	0
198730	0
199592	0
202952	0
208445	0
215132	0
215580	0
216778	0
218284	0
226011	0
226117	0
236100	0
241728	0
254161	0
264951	0
293386	0
293387	0
295352	0
310350	0
319939	0
324768	0
332410	0
335286	0
365349	0
380021	0
401470	0
405444	0
409290	0
412384	0
413882	0
415216	0
437017	0
454130	0
476551	0
477689	0
483545	0
487698	0
521520	0
547461	0
553151	0
570156	0
581189	0
582475	0
587753	0
589330	0
592050	0
653930	0
671092	0
676599	0
693231	0
746128	0
796325	0
797277	0
798071	0
857252	0
859144	0
887085	0
887100	0
929575	0
936053	0
941527	0
979712	0
1036739	0
1105325	0
1136066	0
1148157	0
1407621	0
1547922	0
1707700	0
1707701	0
1708783	0
1715220	0
1715235	0
1715236	0
1715253	0
1755431	0
1755435	0
1756125	0
1758471	0
1769349	0
1849494	0
1869214	0
1869345	0
1871049	0
1871054	0
1871086	0
1871184	0
1871332	0
1871614	0
1871618	0
1871623	0
1872094	0
1872122	0
1872427	0
1872437	0
1873897	0
1882945	0
1886637	0
1898440	0
1902915	0
1914427	0
1934310	0
1934313	0
1960874	0
1963841	0
1970644	0
1981611	0
1981612	0
1982014	0
2044285	0
2046025	0
2046349	0
2050588	0
2420204	0
